score,review,y
1.0,"집안 행사가 있어서 미리 예약하고 간건데,,같은날 같은시간대에 조직같은 분들 행사가 있어서 주차장부터 건물입구, 식당출입문, 복도까지 싹다 무서운분들이 상주하시고 돌아다니셔서 분위기 너무 무서웠습니다. 딱히 해코지를 하신건 아니지만 하,,날 잘못잡았다 싶었어요.거기다 그 행사가 단체예약을 하셔서 주방과 모든 직원분들이 거기에 올인하시느라 저희같은 소규모 손님들은 신경도 안쓰시고, 벨 눌러도 안오셔서 프론트에 직접 가서 이런저런 주문했네요. 음식들은 뚝배기와 돌그릇아닌 메뉴들은 전부 차갑게 식어있고, 맛도 너무 좋지 않았고. 저희만 불만있나 싶었는데 다른 소규모손님들도 같은 불만으로 프론트에 왔다갔다하면서 불만 토로했네요ㅋㅋ감당안되는 단체손님이 있다면 더이상의 예약이나 손님을 받지 않으셨어야 하는거 아닌가요또 예약할때 룸으로 한다고 했고 오케이하셨는데 막상 갔더니 앞뒤 파티션만 있는 복도쪽으로 옆은 뻥 뚫린 그냥 좌석,,사람들 걸어다녀서 바닥은 쿵쿵 울리고 직원분들 다른 손님들 왔다갔다하는거 너무 바로 옆이고ㅋㅋㅋㅋㅋ진짜 하서비스 제공은 인력이 한정적이라 힘들다쳐도 음식까지는 신경써주셨어야 하는게 맞다고 봅니다. b세트를 예약하면서 미리 말씀드렸는데 당일에 홍어삽합 먹는지 여부 확인도 없이 그냥 음식 턱 하니 차려주시고,,,에휴전복은 비리고,,육회는 양념맛만 나고 좌석은 어찌나 냉기가 도는지 음식도 순식간에 식어버리고진짜 다시는 안 갈것같고, 주변에도 절대로 추천하고 싶지 않습니다. 별점 1점도 아까워요",0
5.0,,1
1.0,리뷰보고갔다가 에휴 짜증나,0
3.0,"사람에 따라 별점을 1점을 줄수도 있고 5점을 줄수도 있을거 같은, 극단적으로 호불호의 영역에 있는 식당인것 같습니다. 쾌적함이 뭐예요? 외치는 듯한 와일드한 식당이지만 되려 그 자체가 매력인 묘한 식당입니다.",0
5.0,,1
1.0,"여름에 가면 큰일나는곳 가게들어가기전 사장님 앞에서 응대하시는 말이 ""매장안은 더우니까 바깥에서 먹어"" 안으로가려다 더워서 바깥으로 가니까사장님 하시는말""말좀 쳐듣지 꼭 말안듣고 지멋대로 하다가 가네""실외테이블 가니깐 연기 난리나고 선풍기도 작은거 달랑하나있어서 덥네요처음이라 고기를 많이 태워먹기도 했고 어떻게 먹는지 몰라서 좀 와줬으면 했는데 고기 절반 구울때까지 쳐다도 안보네요 (가게안에 손님이 테이블에 총 5팀 있었습니다.)절반도 먹지 못하고 고기 먹으러가서 벌레와 전쟁하다가 먹은고기맛도 맛이없어서 계산하고 나갔습니다사장님은 나이가 70이셔서 반말은 그렇다쳐도 서비스가 참기가 너무힘드네요",0
5.0,"실외 테이블에서 먹으면 운치있고 좋아요. 고기 좀 구워 본 사람이면 즐기면서 먹을 수 있어요. 부속구이는 정말 굽는 법이 중요하지요. 운치와 추억, 가성비를 챙기고 위생, 안전, 친절을 포기한 집 같아요. 주머니 가벼운 20대가  얼추 90%는 되는 것 같아요. 여기 갈 때는 멋내고 가면 100% 후회해요. 옷, 가방, 머리까지 냄새 다 뱁니다. 요새는 대파, 꼬리뼈, 막창, 껍데기, 뒷고기까지 부속구이의 교과서처럼 나오는 집이 없어서 가끔 생각나네요. 저는 강추!",1
5.0,노포 부속고기 갈매기살 돼지껍데기구이,1
3.0,요새 물가 생각하면 가격대비 푸짐히 먹을수 있음. 술국은 칼칼한 콩나물국 비슷한 맛이고 비법소스가 잘 어우러짐. 단점은 고기굽는 스킬이 없으면 다 타버림. 구우면서 냄새가 온몸에 배어나고 거의 모든게 셀프인점. 그리고 변변한 반찬이랄게 딱히 없어서 가성비로 가볼만한집.,0
1.0,"할아버지 할머니 불친절 오지고..고기도 다  먹기전에 연기땜에 숨막혀 나오고 싶고, 고기도 냄새나고....가성비 좋다고들 가시는데  흠...차라리 집에서 삼겹살 한근 사서 먹는게 훨 나을듯이요.",0
3.0,불을 발견한 석기시대 사람처럼 고기를 먹을 수 있는곳..양 많음,0
1.0,돈버리고 싶으면가세요 고기가 타이어씹는맛,0
5.0,이가격에 낼 수 있는 최고의 가성비 너낌 충분하다,1
5.0,가성비 최고의 고기집입니다모듬 시켜서 둘이 실컷 먹었네요고기도 맛있고 초장소스가 끓이다보면 맛있어지는게 신기하네요,1
5.0,,1
1.0,맘에든것없고 가게가 너무 더러워서 구역질이 날정도입니다.,0
2.0,이모님이 친절하고 재밌어요ㅎㅎ 껍데기는 정말 별로니 껍데기뺀 모듬시키세요,0
3.0,,0
4.0,맛보다도 매우싸다1키로에 17-18,1
3.0,,0
4.0,,1
4.0,,1
5.0,나는 돼지의 불.알.을 숭배한다. 고환을 칼로 쪼갠뒤 불에 구워 자근자근 씹어먹는 그맛!!!,1
5.0,퍼풱투!!!!,1
4.0,살코기 위주로만 먹는데 맛 좋아요~,1
5.0,혼밥하기도 좋고 너무 맛있어요!!,1
5.0,식사도 맛있고 알찬데 공간도 아늑해서 좋아요!!,1
4.0,대학 근처라 가봤는데깔끔하게 한상~근데 찬들을 너무 쬐끔씩 줘서 아쉽네요.그래도 다 맛있고싱싱한 채소까지~~대접받는기분~~테이블이 몇개 안되서 대기탈수도..식사양 보통이면 괜찮아요.,1
5.0,,1
4.0,나쁘지않아서 자주 갔어요 소스는 새콤한 맛이 강하구요 사람 언제나 많은걸보니 아직 맛집 명성 안떨어짐 충대생들이 많이 오는거같긴한데.. 아무튼 동네맛집입니다 허허,1
5.0,,1
3.0,나름먹을만한 돈까스집,0
3.0,좋지도 나쁘지도 않은.. 근데 가장 싼 메뉴가 만원인걸로 봐선 가성비는 극악. 나오는건 빨리 나오기 때문에 빨리 먹고 때워야하면 괜찮은 선택인듯. 스프는 기본제공. 맛은 그저그럼 애초에 체인점이기 때문에..,0
1.0,가격이 ㅜㅜ 불친절까지 .. 옛날이 그립다,0
1.0,"리모델링후 맛도 없어지고 사장은 극불친절에, 다시는 안갈곳입니다. 별1개도 아까운곳.",0
1.0,잘못 튀긴건지 소스가 별로인건지탄맛이 너무 심함,0
3.0,돈까스 양도 많고 가성비는 괜찮은데.. 맛은 애매. 먹을수록 물리고 느끼함이 강함. 백종원 선생님 팁처럼 매운 고추라도 곁들일 수 있게 나온다면 좀 낫지 않을까?,0
4.0,돈까스 바삭바삭,1
5.0,,1
3.0,그낭 돈가스 맛 치즈는 노노해,0
5.0,저는 맛있게먹었습니다 양도많고 다른데보다 더 잘익혀서 나온다고해야되나? 돈까스만 먹어도 맛있음,1
3.0,솔직한 감상은 별로네요돈까스 사이즈는 큰데 신선하고 정말 맛있다는 느낌은 없고 이 금액이면 다른곳 추천,0
5.0,,1
2.0,기름새까맣고 예전엔 저렴했는데 9천원 8천원내고 이거먹느니 편의점 돈까스가 건강할듯....,0
1.0,브레이크타임에 8분 일찍 들어가서 다리 아파서 그런데 앉아서 기다리면 안되냐고 했는데 안된다고하네요..기분이 너무 안좋네요..저 뒤끝있는놈이라..글남김...,0
5.0,맛있는데 사장님이 너무 무서움,1
5.0,맛만 좋구만 기름이 더럽긴 니 여드름이 더 더럽다,1
3.0,"양 많고, 맛도 있는데 기름이 더러움",0
5.0,좋음,1
5.0,조아효,1
5.0,맛도 좋고 사장님 너무 친절하고 좋으신분...오래된 단골인데 이제야 리뷰를 적습니다..,1
5.0,빵이 진짜 맛있어요 ㅎㅎ 근데 먹다보면 좀 느끼해져서 탄산음료랑 꼭 같이 드세요!,1
5.0,수제버거 좋아하시면 강추합니다👍,1
4.0,양이 엄청 많고 맛있어요. 그런데 이제 충북대 중문 버거프렌즈로 갈아탐.,1
1.0,여기는 사람이 말을해도 쌩까고 그냥 지나가버림옃번을 불러도 그냥지나가는 싸가지없는곳임절대 가지맙시다.,0
1.0,일요일 영업중이냐고 물었더니 영업중이라고 해서 3분안에 갔더니 브레이크타임이라고 안된다는게 상식적으로 납득이 안가는 짜증나는 명소. 영업중인데 지금은 브레이크타임이라고 말해주는 센스가 필요,0
1.0,브레이크 타임 지난지 30초 됐나 식사도 후딱 끝내고 나가려고 준비하는데 왜 안나가냐고 가게 불도 다 끄고 빨리 나가라고 몇번을 말하나요..ㅋㅋㅋ 나갈거에요 아저씨 말해도 나가라고 나가라고~~~,0
5.0,"그냥 진짜 너무너무너무 애정하는 청주 소품샵입미더,,,, 소품샵가뭄이던 청주에 단비같았던 블루리프,,, 소품샵들이 많아져도 그 기강하나만큼은 여전해서 자주 갑니더,,,, 사장님 자매분들께서 정말 친절하시고 소품희소성이나 가격들도 합리적이라 생각해용 !! 음료는 거들뿐 !! 그래도 다이제쉐이크 존맛임 강추",1
5.0,처음 갔을 땐 닫혀 있었는데 정말 가보고 싶었던 곳이라 재방문..! 청주에 소품샵이 잘 없는데 레어하고 키치하고 강아지도 귀엽고 사장님도 친절하시고 여러모로 좋았던 곳. 디저트 중단은 조금 아쉽다 ㅜ.ㅜ,1
5.0,,1
5.0,이것저것 선물하려고 많이샀어요~! 사장님이 정성스럽게 포장을 하나씩 해주셔서 넘 감동이고 감사했습니다♥,1
1.0,음.. 양 적은데 밀크티 한잔에 5800원 ㅋㅋ 너무 비싸고 맛도 별로예요 ㅠㅠ디저트도 이제 판매 안 하시네요,0
5.0,"가게 인테리어가 정말 디테일하고 예뻐요.. 음료도 예쁜 컵, 예쁜 빨대에 정성스럽게 만들어져서 나오고 화장실도 깔끔해요. 수다떨기 좋은 분위기에요!! 또 가고 싶어요ㅎㅎ",1
5.0,"친절하시고 분위기도 좋고, 맛있어요! 케이크도 만드신 거+안에 재료에 비해 저렴해요.(5천원)노트 패드 구매했는데 2천원~3천원 사이 가격으로 다른 곳에 비해 저렴했고 서비스?도 넣어주셨어요.안에 소품샵도 있고 스케치북에 그림도 그릴 수 있어서 2시간 금방 가요ㅋㅋ",1
5.0,너무 맛있어요 ㅎㅎ,1
5.0,친절하시고 분위기가 너무 좋아요,1
5.0,친절하셔서 더 찾게 돼요,1
5.0,,1
5.0,,1
1.0,알바생 너어어어무 싸가지 없어요...오후 10시에 알바하시는 여자분들...기분 나빠서 웬만하면 안오려고요,0
5.0,커피 맛있어요! 분위기도 좋구주위 카페 중 베이커리 종류가 제일 많은 것 같아요 좋아요🥨,1
1.0,커피랑 스무디 너무 맛없어요...의자가 불편하구 화장실이 더러워요 ㅠ,0
1.0,이상하게 변했네요김치도 그렇고 위생도그렇고위생이 너무 더럽습니다. 맛도변했고요,0
2.0,맛이 변했습니다그냥 일반 내장탕 그 이상 그 이하도 아니고 바쁘신것은이해하지만 응대를 너무 대충대충 하시는듯,0
4.0,,1
5.0,그냥 맛있어 오래된 맛집!,1
1.0,왜 브레이크 타임은블로그에  안올리나요세상에 해장국도 쉬는시간이 있나 배가 부른건가가격은 언제껀데 식당꺼와 다르고 말이야 손님들 속고 먹는느낌,0
5.0,20년 단골입니다여전히 맛있어요,1
5.0,내장탕 마쉬써요 김취도 마쉬써요:),1
5.0,여긴 최소 1주일에 한번은 가야됩니다.,1
1.0,최악임 주문했는데 주문이 안들어갔는지 잊은건지 뒷테이블 먼저 나오고 20분동안 나오지도않음. 사람많아도 주문은 순서대로 나와야하는데 손님이 20분동안 기다리고있으면 한번이라도 들여다봐야지 이건뭐..다시는 안감.,0
3.0,개비싸먹어보니 비쌀만해그래도 넘 비싸다,0
5.0,"콩나물해장국 육수가 진한듯...간은 알아서 적당히 후추,소금 넣어서 먹음 맛있습니다.",1
4.0,맛있음,1
4.0,내장탕이 맛있는 집. 친절하진 않고 가격도 많이 올라서 비싸지만 그래도 맛은 있고 주차하기도 편합니다,1
3.0,"가격이 요근래 천원씩 상승한 것으로 안다. 소머리는 가끔보면 양이 랜덤임 ㅋㅋ. 가성비는 좋다고 보기 힘들고 주변에 이만한 국밥집이 없는 것도 현실이라 그냥 가게됨 뭐 맛이 괜찮긴함. 위생은 가끔 머리카락 나오고, 친절도는 별로인 편",0
2.0,네이버고 유튜브도 소문난 맛집이라고 해서 찾아갔는데 생각보다 그닥 맛은 없었음. 친절하시긴 한데 맛은 아쉽네요.,0
2.0,장사 잘 되고 오래 된집인건 알겠는데 식탁이 찐득한 촉감이 젤 싫어요. 길 건너편에 있을때도 깍두기가 이랬나 싶을 정도로 깍두기가 재탕은 아니겠지만 회색빛이 돌고 김치겉절이도 좋지만 배추줄거리를 아예 안절여 살아 있어서 잎만 집어 먹음. 해장국의 선지맛이 예전에 쫀득하니  했는데 어떤집은 회색. 어떤집은 적색. 난 적색이 좋은데 이집은 회색. 12시에 주차장에 차들은 계속 들어오던데 난 별로임. 옛날 길 건너 있을때가 제일 맛있어서 (20년전) 3일 연장 간적도 있었는데.아줌마들이 여러명이 있으면 뭐함. 자기들도 회색깍두기랑 안절여서 허연 김치 먹으려나?,0
1.0,"식당 운영관리자에게..친절함이 결여된지 꽤나 오래된듯한 느낌 입니다.청결, 맛 모두 중요하나 기본적으로 사람을 대하는 태도가 먼저인듯 합니다.",0
1.0,"맛은 있어요 맛은 맛있는데너무 대충장사하세요주문 받을때부터 거리두기 한다는데거리두기의 뜻을 모르시는것 같아요이전에 손님이 이용한 테이블은 한타임 쉬고1,3 2,4 이런식으로 번갈아가며 이용하는건데손님 많이 받으려고 가운데만 띄우고전에 손님 먹은 밥풀,지고추 다 떨어진거치워달라니 행주로 슥.. 제가 다시 닦았네요테이블 바꾸려하니 거리두기때문에 안된다고 ㅋㅋ소금은 확인도 안하시는지고추기름 묻어있어요이렇게 하고 코로나 탓하지마세요깨끗하면 다 와요ㅣ",0
5.0,,1
3.0,서빙하는 귀걸이한 파마머리 아주머니.사람 차별하면서 받으세요?여자고 한명이라고주문도 대충받고 앞치마 하나 달라고 하니 또 대답도 없고 나중에 말도없이 와서대충 던지는 식으로 또 주고 앉아있고오늘 다른 서빙 하시는 분 아드님 아니면아줌마 아드님 오신거 같던데 그런 웃는 표정 손님한테 반의반이라도 보여주시면 덧나나요?사람 들어올때부터 귀찮다는듯이 주문받고그러더니 주문받은거 제대로 기억 못해서 잘못 주고. 진짜 일 좀 제대로 하세요.예전에 맛있던 기억이 있어서 오랜만에 먹으러 온거였는데 아줌마 때문에 기분 잡쳤어요.다른 가족 단위 손님들한테는 말투 겁나 친절하게 받으면서 사람 혼자오니 되게 거슬렸나봐요?진심 진짜 기분 개구렸어요.다른 분들은 친절하게 해주시는데아줌마는 진짜 아니시더군요.주문 받을 때 가려가며 받지 마세요.그나마 가게 사장님이 잘 얘기 들어주셔서 마음 풀렸는데 서로 불편하게 안할꺼면 그렇게 행동하지 마세요.,0
4.0,좋아요,1
4.0,,1
5.0,속 시원한 해장국이 생각난다면 여기가 생각남,1
5.0,,1
1.0,불친절 비위생,0
3.0,맛은 좋치만 해장국 가격 8천원 ㅋ가성비는 별로,0
5.0,대존맛,1
3.0,청주의 해장국 명가 중 한 곳으로 내장탕이 유명하다. 육질이 부드럽고 잡내가 없는 내장탕에 고추기름을 듬뿍 넣고 매운 배추겉절이를 곁들이면 술독이 술술 빠져나간다.,0
1.0,저번에 먹은 내장탕 맛도 별로고이앞에 버스정류장 있는데 거기서 버스 기다리면 엄청신경질 내요. 청소해야하는데 거기 있다고.  정류장이 해장국집 시설은 아닐텐데요,0
4.0,,1
5.0,,1
3.0,,0
5.0,참치에 소금후추 존맛,1
5.0,맛있고 친절해요ㅎㅎ,1
2.0,"오늘 포장했거든요..스티커 붙여주시는데 아무것도 안 붙여서  채소가 떨어졌습니다.사진 보시다시피, 스티커 붙이는 부분이고요.없어서 집에 있는 박스 테이프로 고정했습니다....이게 맞는게 모르겠네요.",0
1.0,난생 이렇게 얇은 서브웨이 샌드위치는 처음베이컨도 삐쩍마른거 넣어줌매장에서 먹었습니다 딱히 친절하지도 않았고요,0
5.0,후기 남기신 분들은 대개 배달로 드신 분들인가?? 여기매장은 처음 가는거라 후기보고 좀 고민했는데 고민한게 무색할 정도로 세상 친절하고 야채 모자른 거 있으면 더 여쭤봐 주시고 터질 것처럼 완전 꽉꽉 담아주심. 전 너무 좋았네요,1
1.0,"에그마요 절대 주문하지 마세요 전화문의 하니까 두스쿱 정량대로 잼 바르듯이 발랐다는데 거의 없는 수준이고 광고, 사진이랑 ㅈㄴ다름",0
5.0,키오스크 도입해주세요.,1
5.0,샌드위치 맛있어요-!,1
5.0,사람이 많아도 착착착 진행되는 모습이 보여서 기다리는게 힘들지 않아요. 맛이야 뭐 최고 👍,1
5.0,,1
5.0,사람많지만 친절하고 좋아요!! 왕맛잇음♡♡♡,1
5.0,사람많아요.....,1
1.0,가격이자율정책인가보지?아침메뉴단품이4100원이네청주대점은2900원인데..알바는아침메뉴에마요네즈찍뿌리고고정소스라고지껄이지를않나...교육좀시켜라가격도양심좀써주고,0
5.0,미리 앱으로 주문하고 찾으러 가면 시간절약 많이 됩니다. 매번 먹을 때마다 만족스럽네요:),1
3.0,체인점이에요,0
5.0,,1
1.0,별로임,0
1.0,염색모에 동그란 안경 쓴 여자 진짜 최악 역대급으로 싸가지 없음 목소리 떽떽거리고야채 되지도 않았는데 소스 물어보고 결국 다시 물어보고 장난하나;;;,0
5.0,서비스 왜 안좋다는거지? 알바생들이 비웃기보단 되게 친절하던데;; 평소에 심성 꼬인 사람이 청주에 너무 많네,1
5.0,항상 잘 먹고 있습니다. 예전 직원분들은 주문 내용 잘 못알아듣거나 짜증내는 분들도 계셨는데 오늘은 다 처음뵙는 분들인데 엄청 친절하시고 좋았습니다.,1
3.0,여기 항상 줄이 너무 길어요 ㅜ,0
1.0,오늘 첨 가서 주문을 해봤음. 카운터 보는 아가씨 아줌마가 말귀를 잘 못 알아들어서 짜증은 나겠지만 좀 친절했으면 좋겠음 . 샌드위치는 맛있으나 불친절로 인해서 맛있다  평하고 싶지 않음,0
5.0,알바생들 웃으면서 즐겁게일해서 보기좋음 ㅎㅎ,1
4.0,야채 더 달라하면 넘치도록 주십니다알바생마다 차이 있을듯,1
4.0,"화장실 좋아요, 다 있고 깨끗해요. 샌드위치 메뉴 맛있어요.",1
1.0,키작고 체격있는 머리 노란 여자 알바생 오믈렛추가해달라고 한거 자기가 못 들어놓고 그건 빵 데우기 전에 미리 말해야한다며 저한테 훈계를 하네요... 사람이 몰려 바쁜건 이해하겠는데 오믈렛추가는 빵 데우기전에 말해달라고 안내사항이 써져있던거도아니고 심지어 저는 빵데우기전에 말했는데 본인이 못 들어놓고 훈계질 하는게 굉장히 불쾌했어요..ㅋㅋㅋㅋ,0
1.0,여기 점장이 누군진 몰라도 일 ○○○○ 하시나보네요 아침에 사러왔는데 알바생들 싸가지 없고 서비스 교육이나 제대로 시키세요 돈 얼마 되지도 않는거 줘가면서 아무나 갖다쓰지말고,0
1.0,서비스 별로요. 알바생이 잘 듣지도 못하고 이해도 못해요,0
5.0,갓성비,1
5.0,가성비 왕엘레베이터부터 삼보일배하고 들어가서 먹어야됨,1
4.0,"주인장은 친절하시고, 뛰어난 가성비를 자랑하네요:)",1
5.0,친절하시고 가성비도 좋고 보쌈 맛도 괜찮습니다.,1
5.0,미친 가성비👍🏼,1
5.0,쌉가성비에 맛도 꽤 괜찮음,1
5.0,,1
5.0,,1
4.0,가성비는 좋다. 가격이 올랐다고는 하지만 여전히 대단한 가성비라 생각됨. 고기도 맛있고 전체적 구성도 나쁘지 않다. 개인적 취향엔 좀 지나치게 달게 느껴지는 부분이 없잖아 있지만 언제든 방문해도 후회하진 않을 정도의 맛집,1
4.0,보쌈정식 8천원으로 올랐고 이제 공기밥 무한리필 아니네요ㅠㅠㅠㅠㅠㅠㅠ,1
4.0,고기가 되게 작고 얇긴한데 맛있어요 ㅎㅎ,1
5.0,가성비 맛 최고 !,1
5.0,너무 맛잇어요..항상 더 배터지게 먹고싶은집,1
5.0,,1
5.0,가성비 굿 맛있었어요,1
5.0,좋아요,1
4.0,가성비가 좋아요저렴한가격에 보쌈 막국수 김치찌개 밥 쌈채소등..밥과 찌개는 리필되구요 학생들이 방문하기 좋은 집입니다.,1
4.0,,1
3.0,,0
3.0,가성비 굿6천원에 보쌈 김칫국 막국수? 나오는데그냥 그냥 먹을만 함,0
5.0,혼자 간다면 차슈멘+마보동+레몬사와 시키면 ㅈㅁㅌ조합 청주 OP급,1
5.0,야키니쿠 맛나요,1
5.0,,1
2.0,,0
5.0,,1
1.0,"비싸기만 하고 불편한 스타벅스. 5분 정도 앉아있다가 나가는데도 그새 직원이 찾아와서 “매장 내 일회용 테이크아웃잔은 금지입니다” 하면서 쫓아내요! 5분 정도 한두모금 마시다가 어차피 나갈건데, 왜 번거롭게 머그컵에 받았다가 일회용으로 음료 옮겨달라고 요구해야 하나요? 설거지 할때도 환경오염 생겨요^^혼자서 2만원이나 써도 눈치봐야 하는 카페 스타벅스! 맨날 지인들이 카톡 기프티콘으로 스벅을 보내주니 쓰러 오는데, 진짜 내 돈 주고 오기 아까운 곳",0
3.0,,0
4.0,무난한스타벅스입니다,1
3.0,학생들이 많고 다른곳보다는 활력이 넘칩니다그래서 3점,0
4.0,항상 사람이 많고 북적여서 집중하기 아주 좋은 환경은 아니지만 커피 맛있습니다!,1
4.0,,1
2.0,너무 책상들이 다 붙어있어요ㅠㅠ 직원분들은 친절합니다!,0
5.0,친절하시고 개인컵에 딱 이미지와 같게 해주셨어요.,1
5.0,믿고먹는 스타벅스,1
5.0,"직원분들 수시로 2층에 올라오셔서 테이블, 서비스바 정리하시는 것 보고 위생에 신경을 많이 쓰는가보다 생각이들어서 좋았어요. 솔직히 맛이야 웬만해선 거기서 거기잖아요ㅎㅎ 대학가 스벅치곤 매장이 작은 건 조금 아쉽네요",1
4.0,자리가 별로 없는게 아쉬워요,1
3.0,,0
2.0,,0
2.0,직원들이 불친절하네요. 표정에 불만이 가득하고..,0
5.0,,1
5.0,커피향도 좋고 화장실도 깔끔 ㅎㅎ 아쉬운건 좌석수. 항상 만석이라는...,1
2.0,자리가 좁고 조명이 어두컴컴해서 펍에 온 느낌,0
4.0,무난 합니다,1
1.0,음료 맛은 다 비슷한데. 자리가 정말 불편하고 화장실에는 비린내가 엄청나고 앉는 자리엔 꼬리꼬리한 냄새가 나는게 넘 불쾌하네요.,0
5.0,대학가에서 먹기 좋은 가격대였고 친절하게 조리를 다 해주십니다. 기본맛에 카레향이 첨가되어 있어 좋았고 맛도 적당하네요,1
5.0,닭갈비 카레향 살짝 나서 특색있어요. 매콤하구 맛있어요!,1
5.0,맛나요,1
5.0,,1
5.0,,1
5.0,온왕족발 빈대떡 정말맛있써요.♡,1
5.0,,1
5.0,,1
4.0,들깨수제비랑 해물파전 조합이 진짜 맛있어요!!,1
5.0,밑에 체인이랑 별다를게 없다는 건 뭐지.. 멘야마쯔리는 체인점인데요카라구찌랑 미소 먹어봤는데 둘 다 맛있네요!테이블 옆에 비치된 마늘 넣어서 먹으면 더 맛있습니다 good,1
2.0,돈코츠의 농도가 아쉽다맛도 체인 라멘집이랑 다른점을 찾기가 어렵다가격대가 높다분위기만 보고 가는곳,0
4.0,라멘류는 맛난데 오꼬노미야끼가 조금 아쉬웠어요,1
3.0,,0
5.0,맛나고 친절하세요 강추합니다ㅎㅎ케이크 케이크 팥빙수 초콜릿 쿠키,1
3.0,옛날엔 맛잇엇는데..ㅠㅠ,0
5.0,대존맛탱 고기 맛나서 정신없이 먹고 볶음밥이 나오고서야 사진찍는걸 떠올렸다,1
5.0,사장님 남는 건 있으세요...? 파삼덮밥 7천원인데 고기도 따뜻하고 양 푸짐해서 절반밖에 못 먹었어요 ㅠㅠ,1
5.0,파삼존맛~~~가서먹는것보단 배달이나음,1
3.0,쏘쏘.. 더워뒤짐,0
4.0,,1
5.0,,1
5.0,장소 이전 안내 해 드립니다.복대동 1649번지 충북대학교 정문 부근으로 이전 했습니다.참고 해 주시기 바랍니다.감사합니다.,1
1.0,주인이 너무 예의가없네요동네장사인데 서비스가 엉망이라서 알려야할듯합니다,0
